dópálaim	dópáil
dúblaím	dúbail
dúblálaim	dúbláil
dúisím	dúisigh
dúmhálaim	dúmhál
dúnaim	dún
dúnmharaím	dúnmharaigh
eachtraím	eachtraigh
eadóirsím	eadóirsigh
eagraím	eagair
eagraím	eagraigh
eangaím	eangaigh
earbaim	earb
easanálaím	easanálaigh
easbhrúim	easbhrúigh
eiscim	eisc
eiscríobhaim	eiscríobh
eisfhearaim	eisfhear
eisiachtaim	eisiacht
eisim	eis
eispéirím	eispéirigh
eisreachtaím	eisreachtaigh
eistréataim	eistréat
eitseálaim	eitseáil
fachtóirím	fachtóirigh
fadaím	fadaigh
faighim	faigh
fairim	fair
fairsingím	fairsingigh
fallaingím	fallaingigh
falsaím	falsaigh
fanaim	fan
feabhsaím	feabhsaigh
feacaim	feac
feallaim	feall
feallmharaím	feallmharaigh
feannaim	feann
fearaim	fear
feicim	feic
feiltím	feiltigh
feirim	feir
feistím	feistigh
fianaím	fianaigh
fiaraim	fiar
fillim	fill
fionnaim	fionn
fionnuaraím	fionnuaraigh
fiosaím	fiosaigh
fiuchaim	fiuch
fliuchaim	fliuch
floscaim	flosc
fo-eagraím	fo-eagraigh
fofhostaím	fofhostaigh
foghlaimím	foghlaim
foilsím	foilsigh
foirbim	foirb
foirceannaim	foirceann
foirmím	foirmigh
folaím	folaigh
folcaim	folc
folmhaím	folmhaigh
forchlóim	forchlóigh
forghníomhaím	forghníomhaigh
forleagaim	forleag
forleathnaím	forleathnaigh
forléasaim	forléas
formhuiním	formhuinigh
formhéadaím	formhéadaigh
forthéim	forthéigh
foréigním	foréignigh
foréilím	foréiligh
fosaím	fosaigh
fostaím	fostaigh
fothaím	fothaigh
frainceálaim	frainceáil
frapálaim	frapáil
freagraím	freagair
freangaim	freang
freaschuirim	freaschuir
friochaim	frioch
frithgheallaim	frithgheall
frithionsaím	frithionsaigh
frithráim	frithráigh
frithsheolaim	frithsheol
frithéilím	frithéiligh
fréamhaím	fréamhaigh
fuadaím	fuadaigh
fuaim	fuaigh
fuaimním	fuaimnigh
fuaraím	fuaraigh
fuasclaím	fuascail
fuathaím	fuathaigh
fuinim	fuin
fuirím	fuirigh
fulaingím	fulaing
fágaim	fág
fáiscim	fáisc
fáithimím	fáithimigh
fálaím	fálaigh
fásaim	fás
féachaim	féach
féichiúnaím	féichiúnaigh
fím	figh
fíoraím	fíoraigh
fíordheimhním	fíordheimhnigh
fódaím	fódaigh
fógraím	fógair
fómhasaim	fómhais
gabhaim	gabh
gabhlaím	gabhlaigh
gaibhním	gaibhnigh
gairim	gair
gairnisím	gairnisigh
galaím	galaigh
galbhánaím	galbhánaigh
galldaím	galldaigh
galstobhaim	galstobh
gaothraím	gaothraigh
garbhaím	garbhaigh
garbhshnoím	garbhshnoigh
garbhtheilgim	garbhtheilg
geal-leasaím	geal-leasaigh
gealaim	geal
geallaim	geall
gearraim	gearr
gearrchiorcadaim	gearrchiorcad
gearánaim	gearáin
gearánaim	gearán
geimhlím	geimhligh
geimhrím	geimhrigh
geoidlím	geoidligh
ginim	gin
giollaím	giollaigh
giorraím	giorraigh
giortaím	giortaigh
glanaim	glan
gligleálaim	gligleáil
glinním	glinnigh
gloiním	gloinigh
gléasaistrím	gléasaistrigh
gléghlanaim	gléghlan
glóirím	glóirigh
glónraím	glónraigh
glóraím	glóraigh
gníomhachtaím	gníomhachtaigh
gnóthaím	gnóthaigh
goidim	goid
gormaím	gormaigh
gortaím	gortaigh
grafaim	graf
greadaim	gread
greamaím	greamaigh
greanaim	grean
greannaím	greannaigh
grianaim	grian
griogaim	griog
griollaim	grioll
grábhálaim	grábháil
grádaím	grádaigh
gráim	gráigh
gráinním	gráinnigh
gréasaím	gréasaigh
gríosaím	gríosaigh
gríoscaim	gríosc
guailleálaim	guailleáil
gáirim	gáir
géaraím	géaraigh
géillim	géill
gófrálaim	gófráil
gúistím	gúistigh
hidriginím	hidriginigh
hiním	hinigh
hiodráitím	hiodráitigh
hiopnóisím	hiopnóisigh
iadaím	iadaigh
iadáitím	iadáitigh
ianaím	ianaigh
iardhátaím	iardhátaigh
iarraim	iarr
idirdhealaím	idirdhealaigh
idirdhuillím	idirdhuilligh
idirghabhaim	idirghabh
idirleathaim	idirleath
idirlíním	idirlínigh
idirshuím	idirshuigh
idéalaím	idéalaigh
imdhruidim	imdhruid
imdhíonaim	imdhíon
imircim	imirc
imlíním	imlínigh
imoibrím	imoibrigh
impím	impigh
imrím	imir
imím	imigh
inbhéartaím	inbhéartaigh
infeirím	infeirigh
infheistím	infheistigh
infhillim	infhill
iniúchaim	iniúch
inleagaim	inleag
inneallghreanaim	inneallghrean
insealbhaím	insealbhaigh
inseamhnaím	inseamhnaigh
insilim	insil
inslím	insligh
insteallaim	insteall
insím	inis
insíothlaím	insíothlaigh
iomalartaím	iomalartaigh
iomardaím	iomardaigh
iompaím	iompaigh
iompraím	iompair
ionaclaím	ionaclaigh
ionannaím	ionannaigh
ionduchtaím	ionduchtaigh
ionnarbaim	ionnarb
ionphlandaím	ionphlandaigh
ionramhálaim	ionramháil
ionsaím	ionsaigh
ionstraimím	ionstraimigh
iontonaím	iontonaigh
ithim	ith
labhraím	labhair
labálaim	labáil
lagaím	lagaigh
laghdaím	laghdaigh
lannaím	lannaigh
lansaím	lansaigh
lasaim	las
lascaim	lasc
leabaím	leabaigh
leacaím	leacaigh
leagaim	leag
leamhsháinním	leamhsháinnigh
leanaim	lean
leasaím	leasaigh
leaschraolaim	leaschraol
leathaim	leath
leathnaím	leathnaigh
leictreachlóim	leictreachlóigh
leictrealaím	leictrealaigh
leictreaphlátálaim	leictreaphlátáil
leictrím	leictrigh
leigheasaim	leigheas
leithlisím	leithlisigh
leithreasaím	leithreasaigh
leomhaim	leomh
leonaim	leon
leáim	leáigh
ligim	lig
linseálaim	linseáil
liostálaim	liostáil
liteagrafaim	liteagraf
litrím	litrigh
liúim	liúigh
liúraim	liúr
lobhaim	lobh
locaim	loc
lochtaím	lochtaigh
locraím	locair
loghaim	logh
loicim	loic
loiscim	loisc
loitim	loit
lomaim	lom
lonnaím	lonnaigh
luachálaim	luacháil
luaim	luaigh
luascaim	luasc
luathaím	luathaigh
luathbhruithim	luathbhruith
luchtaím	luchtaigh
luisním	luisnigh
luím	luigh
láimhsím	láimhsigh
láithrím	láithrigh
lámhachaim	lámhach
lánaím	lánaigh
láraím	láraigh
léasaim	léas
léim	léigh
léimim	léim
léirscríobhaim	léirscríobh
léirím	léirigh
líneálaim	líneáil
líním	línigh
líomhaim	líomh
líomhnaím	líomhain
líonaim	líon
líontánaím	líontánaigh
lódálaim	lódáil
lóisteálaim	lóisteáil
lúbaim	lúb
lútálaim	lútáil
macadamaím	macadamaigh
macasamhlaím	macasamhlaigh
machnaím	machnaigh
maighnéadaím	maighnéadaigh
mainním	mainnigh
mairim	mair
maistrím	maistrigh
maisím	maisigh
maithim	maith
malartaím	malartaigh
malgamaím	malgamaigh
mallaím	mallaigh
maolaím	maolaigh
maothaím	maothaigh
mapálaim	mapáil
maraím	maraigh
marbhsháinním	marbhsháinnigh
marcálaim	marcáil
margaím	margaigh
marmaraím	marmaraigh
martraím	martraigh
mascaim	masc
maslaím	maslaigh
meabhraím	meabhraigh
meallaim	meall
mearaím	mearaigh
measaim	meas
meascaim	measc
measúnaím	measúnaigh
meathaim	meath
meathlaím	meathlaigh
meicním	meicnigh
meilim	meil
meirbhlím	meirbhligh
meiteamorfaím	meiteamorfaigh
meitilím	meitiligh
meáim	meáigh
meánchoimrím	meánchoimrigh
mianrillim	mianrill
millim	mill
milsím	milsigh
mionathraím	mionathraigh
mionaím	mionaigh
mionbhreacaim	mionbhreac
miondíolaim	miondíol
mionghearraim	mionghearr
mionnaím	mionnaigh
mionroinnim	mionroinn
mionscagaim	mionscag
mionscrúdaím	mionscrúdaigh
mionteagascaim	mionteagasc
modhnaím	modhnaigh
moillím	moilligh
moirím	moirigh
molaim	mol
monaplaím	monaplaigh
muirním	muirnigh
munglaím	mungail
máirseálaim	máirseáil
méadaím	méadaigh
méaraím	méaraigh
míchomhairlím	míchomhairligh
mídhílsím	mídhílsigh
míním	mínigh
mírialaím	mírialaigh
mírím	mírigh
mísheolaim	mísheol
míthreoraím	míthreoraigh
móidím	móidigh
mótaraím	mótaraigh
múchaim	múch
múinim	múin
múnaim	mún
múnlaím	múnlaigh
músclaím	múscail
nascaim	nasc
neadaím	neadaigh
neamhchothromaím	neamhchothromaigh
neamhním	neamhnigh
neartaím	neartaigh
niamhghlanaim	niamhghlan
nicilphlátálaim	nicilphlátáil
nimhím	nimhigh
nochtaim	nocht
nogaim	nog
náirím	náirigh
néalaím	néalaigh
ním	nigh
nódaím	nódaigh
ocsaiginím	ocsaiginigh
oibrím	oibrigh
oilim	oil
oiriúnaím	oiriúnaigh
oirnéalaim	oirnéal
oirním	oirnigh
olltáirgim	olltáirg
onóraím	onóraigh
ordaím	ordaigh
ornaím	ornaigh
osclaím	oscail
pacálaim	pacáil
paisteálaim	paisteáil
paistéaraim	paistéar
paitinním	paitinnigh
peacaím	peacaigh
pearsanaím	pearsanaigh
pearsantaím	pearsantaigh
piocaim	pioc
placaim	plac
plancghaibhním	plancghaibhnigh
platanaím	platanaigh
pleanálaim	pleanáil
plánálaim	plánáil
plástrálaim	plástráil
plátálaim	plátáil
pléadálaim	pléadáil
pléascaim	pléasc
plúchaim	plúch
pointeálaim	pointeáil
polaraím	polaraigh
pollaim	poll
poncaím	poncaigh
poncloiscim	poncloisc
postaím	postaigh
potbhiathaím	potbhiathaigh
pramsálaim	pramsáil
preabaim	preab
preasálaim	preasáil
priocaim	prioc
priontálaim	priontáil
profaím	profaigh
prognóisím	prognóisigh
promhaim	promh
prásálaim	prásáil
prímeálaim	prímeáil
próiseálaim	próiseáil
próisím	próisigh
pulcaim	pulc
purgaím	purgaigh
pábhálaim	pábháil
páirceálaim	páirceáil
péinteálaim	péinteáil
píceálaim	píceáil
píolótaím	píolótaigh
póilíním	póilínigh
póitseálaim	póitseáil
pósaim	pós
púitseálaim	púitseáil
racálaim	racáil
radaim	rad
ramhraím	ramhraigh
rangaím	rangaigh
rannpháirtím	rannpháirtigh
ransaím	ransaigh
raonálaim	raonáil
raspálaim	raspáil
rathaím	rathaigh
reachtaím	reachtaigh
reicim	reic
rialaím	rialaigh
rianaím	rianaigh
riaraim	riar
riastálaim	riastáil
rigeálaim	rigeáil
rillim	rill
rincim	rinc
rithim	rith
rocaim	roc
roinnim	roinn
roisim	rois
roisíním	roisínigh
rollaim	roll
rollaím	rollaigh
ropaim	rop
rothlaím	rothlaigh
ruaigim	ruaig
ruaimním	ruaimnigh
rubaraím	rubaraigh
rácálaim	rácáil
rádlaím	rádlaigh
rámhaím	rámhaigh
ráthaím	ráthaigh
réabaim	réab
réadaím	réadaigh
réadtiomnaím	réadtiomnaigh
réalaim	réal
réamhaithrisím	réamhaithris
réamhcheapaim	réamhcheap
réamhdhátaím	réamhdhátaigh
réamhdhéanaim	réamhdhéan
réamhfhíoraím	réamhfhíoraigh
réamhghabhaim	réamhghabh
réamhghiorraím	réamhghiorraigh
réamhordaím	réamhordaigh
réasúnaím	réasúnaigh
réimním	réimnigh
réitím	réitigh
ríomhaim	ríomh
ríonaím	ríonaigh
róluchtaím	róluchtaigh
rómhraím	rómhair
róstaim	róst
rúnscríobhaim	rúnscríobh
sacaim	sac
sadhlasaím	sadhlasaigh
saibhseálaim	saibhseáil
saillim	saill
sainoidhrím	sainoidhrigh
sainím	sainigh
salaím	salaigh
samhlaím	samhlaigh
samhraím	samhraigh
sannaim	sann
santaím	santaigh
saobhaim	saobh
saoirsím	saoirsigh
saoraim	saor
saothraím	saothraigh
scagaim	scag
scagdhealaím	scagdhealaigh
scaipim	scaip
scairtim	scairt
scallaim	scall
scamhaim	scamh
scanaim	scan
scanraím	scanraigh
scaoilim	scaoil
scaraim	scar
scarshiúntaím	scarshiúntaigh
sceimhlím	sceimhligh
sceithim	sceith
sceitseálaim	sceitseáil
sciamhaím	sciamhaigh
scilim	scil
sciobaim	sciob
sciollaim	scioll
sciomraím	sciomair
sciotaim	sciot
scirmisím	scirmisigh
sciúraim	sciúr
scoiltim	scoilt
scoirim	scoir
scoithim	scoith
scolbálaim	scolbáil
scoraim	scor
scoth-thriomaím	scoth-thriomaigh
screadaim	scread
screamhchruaim	screamhchruaigh
scriosaim	scrios
scrobhaim	scrobh
scríobaim	scríob
scríobhaim	scríobh
scrúdaim	scrúd
scrúdaím	scrúdaigh
scuabaim	scuab
scuaideálaim	scuaideáil
scáinim	scáin
scáthaím	scáthaigh
scáthlíním	scáthlínigh
scátálaim	scátáil
scóigim	scóig
seachadaim	seachaid
seachnaím	seachain
seachthreoraím	seachthreoraigh
seachtraím	seachtraigh
sealbhaím	sealbhaigh
seamaím	seamaigh
seamhraím	seamhraigh
seargaim	searg
seasaim	seas
seiceálaim	seiceáil
seilgim	seilg
seilím	seiligh
seinnim	seinn
seolaim	seol
silim	sil
sincím	sincigh
sintéisím	sintéisigh
siocaim	sioc
