iarraim	iarr
idirdhealaím	idirdhealaigh
idirdhuillím	idirdhuilligh
idirghabhaim	idirghabh
idirleathaim	idirleath
idirlíním	idirlínigh
idirshuím	idirshuigh
idéalaím	idéalaigh
imdhruidim	imdhruid
imdhíonaim	imdhíon
imircim	imirc
imlíním	imlínigh
imoibrím	imoibrigh
impím	impigh
imrím	imir
imím	imigh
inbhéartaím	inbhéartaigh
infeirím	infeirigh
infheistím	infheistigh
infhillim	infhill
iniúchaim	iniúch
inleagaim	inleag
inneallghreanaim	inneallghrean
inréimníonn	inréimnigh
insealbhaím	insealbhaigh
inseamhnaím	inseamhnaigh
insilim	insil
inslím	insligh
insteallaim	insteall
insím	inis
insíothlaím	insíothlaigh
iomalartaím	iomalartaigh
iomardaím	iomardaigh
iompaím	iompaigh
iompraím	iompair
ionaclaím	ionaclaigh
ionannaím	ionannaigh
ionduchtaím	ionduchtaigh
ionnarbaim	ionnarb
ionphlandaím	ionphlandaigh
ionramhálaim	ionramháil
ionsaím	ionsaigh
ionstraimím	ionstraimigh
iontonaím	iontonaigh
ithim	ith
labhraím	labhair
labálaim	labáil
lagaím	lagaigh
lagaíonn	lagaigh
laghdaím	laghdaigh
laghdaíonn	laghdaigh
lannaím	lannaigh
lansaím	lansaigh
lasaim	las
lasann	las
lascaim	lasc
leabaím	leabaigh
leacaím	leacaigh
leacaíonn	leacaigh
leachtaíonn	leachtaigh
leagaim	leag
leagann	leag
leamhsháinním	leamhsháinnigh
leanaim	lean
leanann	lean
leasaím	leasaigh
leaschraolaim	leaschraol
leathaim	leath
leathann	leath
leathnaím	leathnaigh
leathnaíonn	leathnaigh
leictreachlóim	leictreachlóigh
leictrealaím	leictrealaigh
leictreaphlátálaim	leictreaphlátáil
leictrím	leictrigh
leigheasaim	leigheas
leithlisím	leithlisigh
leithreasaím	leithreasaigh
leomhaim	leomh
leonaim	leon
leáim	leáigh
leánn	leáigh
liathann	liath
ligim	lig
linseálaim	linseáil
liostálaim	liostáil
liteagrafaim	liteagraf
litrím	litrigh
liúim	liúigh
liúraim	liúr
lobhaim	lobh
lobhann	lobh
locaim	loc
lochtaím	lochtaigh
locraím	locair
loghaim	logh
loiceann	loic
loicim	loic
loiscim	loisc
loitim	loit
lomaim	lom
lonnaím	lonnaigh
lonraíonn	lonraigh
luachálaim	luacháil
luaim	luaigh
luascaim	luasc
luascann	luasc
luathaím	luathaigh
luathaíonn	luathaigh
luathbhruithim	luathbhruith
luchtaím	luchtaigh
luisním	luisnigh
luím	luigh
luíonn	luigh
láimhsím	láimhsigh
láithrím	láithrigh
lámhachaim	lámhach
lánaím	lánaigh
láraím	láraigh
léasaim	léas
léim	léigh
léimeann	léim
léimim	léim
léirscríobhaim	léirscríobh
léirím	léirigh
líneálaim	líneáil
líním	línigh
líomhaim	líomh
líomhnaím	líomhain
líonaim	líon
líonann	líon
líontánaím	líontánaigh
lódálaim	lódáil
lóisteálaim	lóisteáil
lúbaim	lúb
lúbann	lúb
lútálaim	lútáil
macadamaím	macadamaigh
macasamhlaím	macasamhlaigh
machnaím	machnaigh
maighnéadaím	maighnéadaigh
mainním	mainnigh
maireann	mair
mairim	mair
maistrím	maistrigh
maisím	maisigh
maithim	maith
malartaím	malartaigh
malgamaím	malgamaigh
mallaím	mallaigh
maolaím	maolaigh
maolaíonn	maolaigh
maothaím	maothaigh
mapálaim	mapáil
maraím	maraigh
maraíonn	maraigh
marbhsháinním	marbhsháinnigh
marcálaim	marcáil
margaím	margaigh
marmaraím	marmaraigh
martraím	martraigh
mascaim	masc
maslaím	maslaigh
meabhraím	meabhraigh
meallaim	meall
mearaím	mearaigh
measaim	meas
meascaim	measc
meascann	measc
measúnaím	measúnaigh
meathaim	meath
meathann	meath
meathlaím	meathlaigh
meicním	meicnigh
meilim	meil
meirbhlím	meirbhligh
meiteamorfaím	meiteamorfaigh
meitilím	meitiligh
meáim	meáigh
meánchoimrím	meánchoimrigh
mianrillim	mianrill
millim	mill
milsím	milsigh
mionathraím	mionathraigh
mionaím	mionaigh
mionaíonn	mionaigh
mionbhreacaim	mionbhreac
miondíolaim	miondíol
mionghearraim	mionghearr
mionnaím	mionnaigh
mionroinnim	mionroinn
mionscagaim	mionscag
mionscrúdaím	mionscrúdaigh
mionteagascaim	mionteagasc
modhnaím	modhnaigh
mogallaíonn	mogallaigh
moillím	moilligh
moillíonn	moilligh
moirím	moirigh
molaim	mol
monaplaím	monaplaigh
morgann	morg
muirním	muirnigh
munglaím	mungail
máirseálaim	máirseáil
méadaím	méadaigh
méadaíonn	méadaigh
méaraím	méaraigh
míchomhairlím	míchomhairligh
mídhílsím	mídhílsigh
míním	mínigh
mírialaím	mírialaigh
mírím	mírigh
mísheolaim	mísheol
míthreoraím	míthreoraigh
móidím	móidigh
mótaraím	mótaraigh
múchaim	múch
múchann	múch
múinim	múin
múnaim	mún
múnlaím	múnlaigh
músclaím	múscail
músclaíonn	múscail
nascaim	nasc
nascann	nasc
neadaím	neadaigh
neamhchothromaím	neamhchothromaigh
neamhním	neamhnigh
neartaím	neartaigh
neartaíonn	neartaigh
niamhghlanaim	niamhghlan
nicilphlátálaim	nicilphlátáil
nimhím	nimhigh
nochtaim	nocht
nogaim	nog
náirím	náirigh
néalaím	néalaigh
ním	nigh
nódaím	nódaigh
ocsaiginím	ocsaiginigh
oibrím	oibrigh
oilim	oil
oiriúnaím	oiriúnaigh
oirnéalaim	oirnéal
oirním	oirnigh
olltáirgim	olltáirg
onóraím	onóraigh
ordaím	ordaigh
ornaím	ornaigh
osclaím	oscail
pacálaim	pacáil
paisteálaim	paisteáil
paistéaraim	paistéar
paitinním	paitinnigh
peacaím	peacaigh
pearsanaím	pearsanaigh
pearsantaím	pearsantaigh
piocaim	pioc
piocann	pioc
plabann	plab
placaim	plac
plancghaibhním	plancghaibhnigh
